2025-02-22 06:42:11,153 - INFO - Combined 15 files into DataFrame with 185124 rows
2025-02-22 06:42:11,180 - INFO - Loaded progress from scraper_progress.json: 29 URLs scraped
2025-02-22 12:49:42,899 - INFO - Progress saved: 340 URLs scraped, 844 players found
2025-02-22 12:50:27,780 - INFO - Progress saved: 350 URLs scraped, 868 players found
2025-02-22 12:51:22,814 - INFO - Progress saved: 360 URLs scraped, 900 players found
2025-02-22 12:52:01,570 - INFO - Progress saved: 370 URLs scraped, 923 players found
2025-02-22 12:52:47,869 - INFO - Progress saved: 380 URLs scraped, 950 players found
2025-02-22 12:53:32,177 - INFO - Progress saved: 390 URLs scraped, 977 players found
2025-02-22 12:54:23,659 - INFO - Progress saved: 400 URLs scraped, 1004 players found
2025-02-22 12:55:04,437 - INFO - Progress saved: 410 URLs scraped, 1027 players found
2025-02-22 12:55:51,647 - INFO - Progress saved: 420 URLs scraped, 1054 players found
2025-02-22 12:56:37,335 - INFO - Progress saved: 430 URLs scraped, 1082 players found
2025-02-22 12:57:14,769 - INFO - Progress saved: 440 URLs scraped, 1102 players found
2025-02-22 12:57:59,343 - INFO - Progress saved: 450 URLs scraped, 1126 players found
2025-02-22 12:58:39,113 - INFO - Progress saved: 460 URLs scraped, 1150 players found
2025-02-22 12:59:30,815 - INFO - Progress saved: 470 URLs scraped, 1172 players found
2025-02-22 13:00:22,334 - INFO - Progress saved: 480 URLs scraped, 1198 players found
2025-02-22 13:01:07,079 - INFO - Progress saved: 490 URLs scraped, 1228 players found
2025-02-22 13:01:50,287 - INFO - Progress saved: 500 URLs scraped, 1255 players found
2025-02-22 13:02:32,486 - INFO - Progress saved: 510 URLs scraped, 1284 players found
2025-02-22 13:03:14,419 - INFO - Progress saved: 520 URLs scraped, 1311 players found
2025-02-22 13:03:55,392 - INFO - Progress saved: 530 URLs scraped, 1341 players found
2025-02-22 13:04:38,637 - INFO - Progress saved: 540 URLs scraped, 1364 players found
2025-02-22 13:05:18,494 - INFO - Progress saved: 550 URLs scraped, 1394 players found
2025-02-22 13:06:10,161 - INFO - Progress saved: 560 URLs scraped, 1421 players found
2025-02-22 13:06:54,424 - INFO - Progress saved: 570 URLs scraped, 1448 players found
2025-02-22 13:07:41,804 - INFO - Progress saved: 580 URLs scraped, 1470 players found
2025-02-22 13:08:24,376 - INFO - Progress saved: 590 URLs scraped, 1500 players found
2025-02-22 13:09:06,432 - INFO - Progress saved: 600 URLs scraped, 1529 players found
2025-02-22 13:09:53,991 - INFO - Progress saved: 610 URLs scraped, 1560 players found
2025-02-22 13:10:40,942 - INFO - Progress saved: 620 URLs scraped, 1593 players found
2025-02-22 13:11:31,623 - INFO - Progress saved: 630 URLs scraped, 1612 players found
2025-02-22 13:12:15,794 - INFO - Progress saved: 640 URLs scraped, 1636 players found
2025-02-22 13:12:57,260 - INFO - Progress saved: 650 URLs scraped, 1657 players found
2025-02-22 13:13:40,314 - INFO - Progress saved: 660 URLs scraped, 1683 players found
2025-02-22 13:14:25,879 - INFO - Progress saved: 670 URLs scraped, 1706 players found
2025-02-22 13:15:09,285 - INFO - Progress saved: 680 URLs scraped, 1735 players found
2025-02-22 13:15:58,414 - INFO - Progress saved: 690 URLs scraped, 1770 players found
2025-02-22 13:16:44,108 - INFO - Progress saved: 700 URLs scraped, 1807 players found
2025-02-22 13:17:26,798 - INFO - Progress saved: 710 URLs scraped, 1830 players found
2025-02-22 13:18:10,107 - INFO - Progress saved: 720 URLs scraped, 1853 players found
2025-02-22 13:19:01,226 - INFO - Progress saved: 730 URLs scraped, 1883 players found
2025-02-22 13:19:43,274 - INFO - Progress saved: 740 URLs scraped, 1913 players found
2025-02-22 13:20:30,081 - INFO - Progress saved: 750 URLs scraped, 1931 players found
2025-02-22 13:21:08,791 - INFO - Progress saved: 760 URLs scraped, 1949 players found
2025-02-22 13:21:51,476 - INFO - Progress saved: 770 URLs scraped, 1970 players found
2025-02-22 13:22:36,749 - INFO - Progress saved: 780 URLs scraped, 1991 players found
2025-02-22 13:23:16,158 - INFO - Progress saved: 790 URLs scraped, 2020 players found
2025-02-22 13:24:09,407 - INFO - Progress saved: 800 URLs scraped, 2047 players found
2025-02-22 13:25:01,305 - INFO - Progress saved: 810 URLs scraped, 2069 players found
2025-02-22 13:25:48,070 - INFO - Progress saved: 820 URLs scraped, 2083 players found
2025-02-22 13:27:00,635 - INFO - Progress saved: 830 URLs scraped, 2113 players found
2025-02-22 13:27:47,224 - INFO - Progress saved: 840 URLs scraped, 2143 players found
2025-02-22 13:28:37,345 - INFO - Progress saved: 850 URLs scraped, 2172 players found
2025-02-22 13:29:37,533 - INFO - Progress saved: 860 URLs scraped, 2193 players found
2025-02-22 13:30:22,078 - INFO - Progress saved: 870 URLs scraped, 2218 players found
2025-02-22 13:31:18,800 - INFO - Progress saved: 880 URLs scraped, 2248 players found
2025-02-22 13:32:13,020 - INFO - Progress saved: 890 URLs scraped, 2271 players found
2025-02-22 13:32:57,432 - INFO - Progress saved: 900 URLs scraped, 2300 players found
2025-02-22 13:33:38,909 - INFO - Progress saved: 910 URLs scraped, 2330 players found
2025-02-22 13:34:26,058 - INFO - Progress saved: 920 URLs scraped, 2353 players found
2025-02-22 13:35:11,109 - INFO - Progress saved: 930 URLs scraped, 2379 players found
2025-02-22 13:35:59,172 - INFO - Progress saved: 940 URLs scraped, 2401 players found
2025-02-22 13:36:44,750 - INFO - Progress saved: 950 URLs scraped, 2423 players found
2025-02-22 13:37:35,814 - INFO - Progress saved: 960 URLs scraped, 2448 players found
2025-02-22 13:38:16,277 - INFO - Progress saved: 970 URLs scraped, 2473 players found
2025-02-22 13:38:58,529 - INFO - Progress saved: 980 URLs scraped, 2495 players found
2025-02-22 13:39:50,679 - INFO - Progress saved: 990 URLs scraped, 2515 players found
2025-02-22 13:40:41,225 - INFO - Progress saved: 1000 URLs scraped, 2538 players found
2025-02-22 13:41:58,500 - INFO - Progress saved: 1010 URLs scraped, 2563 players found
2025-02-22 13:43:26,892 - INFO - Progress saved: 1020 URLs scraped, 2598 players found
2025-02-22 13:44:57,436 - INFO - Progress saved: 1030 URLs scraped, 2619 players found
2025-02-22 13:45:45,595 - INFO - Progress saved: 1040 URLs scraped, 2640 players found
2025-02-22 13:46:32,749 - INFO - Progress saved: 1050 URLs scraped, 2668 players found
2025-02-22 13:48:01,670 - INFO - Progress saved: 1060 URLs scraped, 2689 players found
2025-02-22 13:49:39,062 - INFO - Progress saved: 1070 URLs scraped, 2716 players found
2025-02-22 13:50:29,361 - INFO - Progress saved: 1080 URLs scraped, 2742 players found
2025-02-22 13:51:34,219 - INFO - Progress saved: 1090 URLs scraped, 2769 players found
2025-02-22 13:52:28,122 - INFO - Progress saved: 1100 URLs scraped, 2797 players found
2025-02-22 13:54:09,060 - INFO - Progress saved: 1110 URLs scraped, 2824 players found
2025-02-22 13:55:12,958 - INFO - Progress saved: 1120 URLs scraped, 2855 players found
2025-02-22 13:56:42,961 - INFO - Progress saved: 1130 URLs scraped, 2873 players found
2025-02-22 13:57:54,162 - INFO - Progress saved: 1140 URLs scraped, 2901 players found
2025-02-22 13:59:20,989 - INFO - Progress saved: 1150 URLs scraped, 2934 players found
2025-02-22 14:00:47,614 - INFO - Progress saved: 1160 URLs scraped, 2965 players found
2025-02-22 14:01:47,590 - INFO - Progress saved: 1170 URLs scraped, 2994 players found
2025-02-22 14:02:52,991 - INFO - Progress saved: 1180 URLs scraped, 3022 players found
2025-02-22 14:03:42,470 - INFO - Progress saved: 1190 URLs scraped, 3043 players found
2025-02-22 14:04:28,084 - INFO - Progress saved: 1200 URLs scraped, 3067 players found
2025-02-22 14:05:29,764 - INFO - Progress saved: 1210 URLs scraped, 3093 players found
2025-02-22 14:06:21,465 - INFO - Progress saved: 1220 URLs scraped, 3123 players found
2025-02-22 14:07:09,927 - INFO - Progress saved: 1230 URLs scraped, 3141 players found
2025-02-22 14:07:58,531 - INFO - Progress saved: 1240 URLs scraped, 3160 players found
2025-02-22 14:08:39,052 - INFO - Progress saved: 1250 URLs scraped, 3184 players found
2025-02-22 14:09:23,023 - INFO - Progress saved: 1260 URLs scraped, 3206 players found
2025-02-22 14:10:06,310 - INFO - Progress saved: 1270 URLs scraped, 3230 players found
2025-02-22 14:10:53,451 - INFO - Progress saved: 1280 URLs scraped, 3253 players found
2025-02-22 14:11:48,641 - INFO - Progress saved: 1290 URLs scraped, 3286 players found
2025-02-22 14:12:40,588 - INFO - Progress saved: 1300 URLs scraped, 3323 players found
2025-02-22 14:13:21,184 - INFO - Progress saved: 1310 URLs scraped, 3344 players found
2025-02-22 14:14:09,164 - INFO - Progress saved: 1320 URLs scraped, 3376 players found
2025-02-22 14:14:53,211 - INFO - Progress saved: 1330 URLs scraped, 3415 players found
2025-02-22 14:15:35,561 - INFO - Progress saved: 1340 URLs scraped, 3445 players found
2025-02-22 14:16:20,804 - INFO - Progress saved: 1350 URLs scraped, 3463 players found
2025-02-22 14:17:07,855 - INFO - Progress saved: 1360 URLs scraped, 3495 players found
2025-02-22 14:17:52,599 - INFO - Progress saved: 1370 URLs scraped, 3521 players found
2025-02-22 14:18:46,177 - INFO - Progress saved: 1380 URLs scraped, 3551 players found
2025-02-22 14:19:30,588 - INFO - Progress saved: 1390 URLs scraped, 3576 players found
2025-02-22 14:20:13,824 - INFO - Progress saved: 1400 URLs scraped, 3602 players found
2025-02-22 14:21:04,632 - INFO - Progress saved: 1410 URLs scraped, 3628 players found
2025-02-22 14:22:01,165 - INFO - Progress saved: 1420 URLs scraped, 3654 players found
2025-02-22 14:22:51,462 - INFO - Progress saved: 1430 URLs scraped, 3683 players found
2025-02-22 14:23:43,011 - INFO - Progress saved: 1440 URLs scraped, 3714 players found
2025-02-22 14:24:37,774 - INFO - Progress saved: 1450 URLs scraped, 3747 players found
2025-02-22 14:25:25,492 - INFO - Progress saved: 1460 URLs scraped, 3780 players found
2025-02-22 14:26:11,100 - INFO - Progress saved: 1470 URLs scraped, 3812 players found
2025-02-22 14:27:08,192 - INFO - Progress saved: 1480 URLs scraped, 3840 players found
2025-02-22 14:27:55,390 - INFO - Progress saved: 1490 URLs scraped, 3863 players found
2025-02-22 14:28:47,636 - INFO - Progress saved: 1500 URLs scraped, 3892 players found
2025-02-22 14:29:27,787 - INFO - Progress saved: 1510 URLs scraped, 3907 players found
2025-02-22 14:30:07,838 - INFO - Progress saved: 1520 URLs scraped, 3928 players found
2025-02-22 14:30:53,687 - INFO - Progress saved: 1530 URLs scraped, 3955 players found
2025-02-22 14:31:41,248 - INFO - Progress saved: 1540 URLs scraped, 3987 players found
2025-02-22 14:32:29,580 - INFO - Progress saved: 1550 URLs scraped, 4014 players found
2025-02-22 14:33:17,358 - INFO - Progress saved: 1560 URLs scraped, 4042 players found
2025-02-22 14:34:04,464 - INFO - Progress saved: 1570 URLs scraped, 4066 players found
2025-02-22 14:34:49,294 - INFO - Progress saved: 1580 URLs scraped, 4086 players found
2025-02-22 14:35:38,493 - INFO - Progress saved: 1590 URLs scraped, 4114 players found
2025-02-22 14:36:29,076 - INFO - Progress saved: 1600 URLs scraped, 4142 players found
2025-02-22 14:37:16,766 - INFO - Progress saved: 1610 URLs scraped, 4172 players found
2025-02-22 14:38:02,226 - INFO - Progress saved: 1620 URLs scraped, 4190 players found
2025-02-22 14:38:53,718 - INFO - Progress saved: 1630 URLs scraped, 4212 players found
2025-02-22 14:39:33,757 - INFO - Progress saved: 1640 URLs scraped, 4235 players found
2025-02-22 14:40:19,800 - INFO - Progress saved: 1650 URLs scraped, 4260 players found
2025-02-22 14:41:06,871 - INFO - Progress saved: 1660 URLs scraped, 4281 players found
2025-02-22 14:41:53,920 - INFO - Progress saved: 1670 URLs scraped, 4298 players found
2025-02-22 14:42:44,973 - INFO - Progress saved: 1680 URLs scraped, 4321 players found
2025-02-22 14:43:33,347 - INFO - Progress saved: 1690 URLs scraped, 4342 players found
2025-02-22 14:44:16,716 - INFO - Progress saved: 1700 URLs scraped, 4366 players found
2025-02-22 14:45:05,826 - INFO - Progress saved: 1710 URLs scraped, 4395 players found
2025-02-22 14:45:52,998 - INFO - Progress saved: 1720 URLs scraped, 4423 players found
2025-02-22 14:46:37,767 - INFO - Progress saved: 1730 URLs scraped, 4451 players found
2025-02-22 14:47:19,606 - INFO - Progress saved: 1740 URLs scraped, 4483 players found
2025-02-22 14:48:06,104 - INFO - Progress saved: 1750 URLs scraped, 4512 players found
2025-02-22 14:48:51,655 - INFO - Progress saved: 1760 URLs scraped, 4531 players found
2025-02-22 14:49:30,235 - INFO - Progress saved: 1770 URLs scraped, 4559 players found
2025-02-22 14:50:20,503 - INFO - Progress saved: 1780 URLs scraped, 4588 players found
2025-02-22 14:51:12,907 - INFO - Progress saved: 1790 URLs scraped, 4613 players found
2025-02-22 14:52:19,487 - INFO - Progress saved: 1800 URLs scraped, 4639 players found
2025-02-22 14:53:19,021 - INFO - Progress saved: 1810 URLs scraped, 4654 players found
2025-02-22 14:54:17,722 - INFO - Progress saved: 1820 URLs scraped, 4679 players found
2025-02-22 14:54:57,090 - INFO - Progress saved: 1830 URLs scraped, 4688 players found
2025-02-22 14:56:04,482 - INFO - Progress saved: 1840 URLs scraped, 4712 players found
2025-02-22 14:57:03,207 - INFO - Progress saved: 1850 URLs scraped, 4737 players found
2025-02-22 14:57:54,359 - INFO - Progress saved: 1860 URLs scraped, 4759 players found
2025-02-22 14:58:41,503 - INFO - Progress saved: 1870 URLs scraped, 4778 players found
2025-02-22 14:59:34,212 - INFO - Progress saved: 1880 URLs scraped, 4806 players found
2025-02-22 15:00:23,763 - INFO - Progress saved: 1890 URLs scraped, 4835 players found
2025-02-22 15:01:07,481 - INFO - Progress saved: 1900 URLs scraped, 4853 players found
2025-02-22 15:02:04,129 - INFO - Progress saved: 1910 URLs scraped, 4883 players found
2025-02-22 15:02:57,612 - INFO - Progress saved: 1920 URLs scraped, 4907 players found
2025-02-22 15:03:56,513 - INFO - Progress saved: 1930 URLs scraped, 4936 players found
2025-02-22 15:04:52,063 - INFO - Progress saved: 1940 URLs scraped, 4967 players found
2025-02-22 15:05:46,929 - INFO - Progress saved: 1950 URLs scraped, 4998 players found
2025-02-22 15:06:38,768 - INFO - Progress saved: 1960 URLs scraped, 5021 players found
2025-02-22 15:07:25,114 - INFO - Progress saved: 1970 URLs scraped, 5047 players found
2025-02-22 15:08:13,514 - INFO - Progress saved: 1980 URLs scraped, 5082 players found
2025-02-22 15:09:08,666 - INFO - Progress saved: 1990 URLs scraped, 5118 players found
2025-02-22 15:09:47,922 - INFO - Progress saved: 2000 URLs scraped, 5149 players found
2025-02-22 15:10:35,701 - INFO - Progress saved: 2010 URLs scraped, 5178 players found
2025-02-22 15:11:25,523 - INFO - Progress saved: 2020 URLs scraped, 5201 players found
2025-02-22 15:12:12,694 - INFO - Progress saved: 2030 URLs scraped, 5230 players found
2025-02-22 15:12:52,953 - INFO - Progress saved: 2040 URLs scraped, 5254 players found
2025-02-22 15:13:38,374 - INFO - Progress saved: 2050 URLs scraped, 5286 players found
2025-02-22 15:14:27,544 - INFO - Progress saved: 2060 URLs scraped, 5315 players found
2025-02-22 15:15:16,482 - INFO - Progress saved: 2070 URLs scraped, 5349 players found
2025-02-22 15:16:03,975 - INFO - Progress saved: 2080 URLs scraped, 5372 players found
2025-02-22 15:16:56,827 - INFO - Progress saved: 2090 URLs scraped, 5402 players found
2025-02-22 15:17:48,240 - INFO - Progress saved: 2100 URLs scraped, 5430 players found
2025-02-22 15:18:32,916 - INFO - Progress saved: 2110 URLs scraped, 5450 players found
2025-02-22 15:19:28,891 - INFO - Progress saved: 2120 URLs scraped, 5477 players found
2025-02-22 15:20:20,911 - INFO - Progress saved: 2130 URLs scraped, 5507 players found
2025-02-22 15:21:05,081 - INFO - Progress saved: 2140 URLs scraped, 5531 players found
2025-02-22 15:21:50,161 - INFO - Progress saved: 2150 URLs scraped, 5558 players found
2025-02-22 15:22:31,841 - INFO - Progress saved: 2160 URLs scraped, 5585 players found
2025-02-22 15:23:18,543 - INFO - Progress saved: 2170 URLs scraped, 5607 players found
2025-02-22 15:24:02,481 - INFO - Progress saved: 2180 URLs scraped, 5634 players found
2025-02-22 15:24:51,419 - INFO - Progress saved: 2190 URLs scraped, 5655 players found
2025-02-22 15:25:35,884 - INFO - Progress saved: 2200 URLs scraped, 5677 players found
2025-02-22 15:26:17,543 - INFO - Progress saved: 2210 URLs scraped, 5693 players found
2025-02-22 15:27:03,798 - INFO - Progress saved: 2220 URLs scraped, 5717 players found
2025-02-22 15:28:02,020 - INFO - Progress saved: 2230 URLs scraped, 5750 players found
2025-02-22 15:28:47,395 - INFO - Progress saved: 2240 URLs scraped, 5776 players found
2025-02-22 15:29:35,217 - INFO - Progress saved: 2250 URLs scraped, 5797 players found
2025-02-22 15:30:31,992 - INFO - Progress saved: 2260 URLs scraped, 5824 players found
2025-02-22 15:31:27,753 - INFO - Progress saved: 2270 URLs scraped, 5853 players found
2025-02-22 15:32:19,087 - INFO - Progress saved: 2280 URLs scraped, 5884 players found
2025-02-22 15:33:04,168 - INFO - Progress saved: 2290 URLs scraped, 5907 players found
2025-02-22 15:33:49,789 - INFO - Progress saved: 2300 URLs scraped, 5927 players found
2025-02-22 15:34:36,821 - INFO - Progress saved: 2310 URLs scraped, 5946 players found
2025-02-22 15:35:24,537 - INFO - Progress saved: 2320 URLs scraped, 5969 players found
2025-02-22 15:36:22,583 - INFO - Progress saved: 2330 URLs scraped, 6002 players found
2025-02-22 15:37:07,010 - INFO - Progress saved: 2340 URLs scraped, 6021 players found
2025-02-22 15:38:02,095 - INFO - Progress saved: 2350 URLs scraped, 6054 players found
2025-02-22 15:38:50,084 - INFO - Progress saved: 2360 URLs scraped, 6073 players found
2025-02-22 15:39:46,843 - INFO - Progress saved: 2370 URLs scraped, 6100 players found
2025-02-22 15:40:37,769 - INFO - Progress saved: 2380 URLs scraped, 6134 players found
2025-02-22 15:41:28,912 - INFO - Progress saved: 2390 URLs scraped, 6157 players found
2025-02-22 15:42:27,550 - INFO - Progress saved: 2400 URLs scraped, 6188 players found
2025-02-22 15:43:10,456 - INFO - Progress saved: 2410 URLs scraped, 6212 players found
2025-02-22 15:43:54,190 - INFO - Progress saved: 2420 URLs scraped, 6234 players found
2025-02-22 15:44:37,450 - INFO - Progress saved: 2430 URLs scraped, 6263 players found
2025-02-22 15:45:21,173 - INFO - Progress saved: 2440 URLs scraped, 6282 players found
2025-02-22 15:46:10,441 - INFO - Progress saved: 2450 URLs scraped, 6314 players found
2025-02-22 15:46:55,754 - INFO - Progress saved: 2460 URLs scraped, 6338 players found
2025-02-22 15:47:43,644 - INFO - Progress saved: 2470 URLs scraped, 6360 players found
2025-02-22 15:48:29,878 - INFO - Progress saved: 2480 URLs scraped, 6386 players found
2025-02-22 15:49:17,599 - INFO - Progress saved: 2490 URLs scraped, 6410 players found
2025-02-22 15:50:02,040 - INFO - Progress saved: 2500 URLs scraped, 6440 players found
2025-02-22 15:50:52,896 - INFO - Progress saved: 2510 URLs scraped, 6469 players found
2025-02-22 15:51:39,534 - INFO - Progress saved: 2520 URLs scraped, 6498 players found
2025-02-22 15:52:28,217 - INFO - Progress saved: 2530 URLs scraped, 6519 players found
2025-02-22 15:53:12,398 - INFO - Progress saved: 2540 URLs scraped, 6542 players found
2025-02-22 15:54:07,932 - INFO - Progress saved: 2550 URLs scraped, 6564 players found
2025-02-22 15:54:55,869 - INFO - Progress saved: 2560 URLs scraped, 6592 players found
2025-02-22 15:55:45,323 - INFO - Progress saved: 2570 URLs scraped, 6621 players found
2025-02-22 15:56:35,086 - INFO - Progress saved: 2580 URLs scraped, 6646 players found
2025-02-22 15:57:22,263 - INFO - Progress saved: 2590 URLs scraped, 6680 players found
2025-02-22 15:58:10,636 - INFO - Progress saved: 2600 URLs scraped, 6709 players found
2025-02-22 15:59:00,609 - INFO - Progress saved: 2610 URLs scraped, 6735 players found
2025-02-22 15:59:50,235 - INFO - Progress saved: 2620 URLs scraped, 6753 players found
2025-02-22 16:00:35,886 - INFO - Progress saved: 2630 URLs scraped, 6775 players found
2025-02-22 16:01:31,439 - INFO - Progress saved: 2640 URLs scraped, 6798 players found
2025-02-22 16:02:14,473 - INFO - Progress saved: 2650 URLs scraped, 6823 players found
2025-02-22 16:03:01,798 - INFO - Progress saved: 2660 URLs scraped, 6845 players found
2025-02-22 16:03:59,304 - INFO - Progress saved: 2670 URLs scraped, 6874 players found
2025-02-22 16:04:53,215 - INFO - Progress saved: 2680 URLs scraped, 6896 players found
2025-02-22 16:05:44,484 - INFO - Progress saved: 2690 URLs scraped, 6924 players found
2025-02-22 16:06:38,034 - INFO - Progress saved: 2700 URLs scraped, 6953 players found
2025-02-22 16:07:24,572 - INFO - Progress saved: 2710 URLs scraped, 6981 players found
2025-02-22 16:08:08,310 - INFO - Progress saved: 2720 URLs scraped, 7016 players found
2025-02-22 16:08:55,681 - INFO - Progress saved: 2730 URLs scraped, 7034 players found
2025-02-22 16:09:45,242 - INFO - Progress saved: 2740 URLs scraped, 7060 players found
2025-02-22 16:10:36,282 - INFO - Progress saved: 2750 URLs scraped, 7090 players found
2025-02-22 16:11:24,537 - INFO - Progress saved: 2760 URLs scraped, 7111 players found
2025-02-22 16:12:13,960 - INFO - Progress saved: 2770 URLs scraped, 7149 players found
2025-02-22 16:12:59,788 - INFO - Progress saved: 2780 URLs scraped, 7186 players found
2025-02-22 16:13:48,661 - INFO - Progress saved: 2790 URLs scraped, 7211 players found
2025-02-22 16:14:35,852 - INFO - Progress saved: 2800 URLs scraped, 7244 players found
2025-02-22 16:15:26,864 - INFO - Progress saved: 2810 URLs scraped, 7271 players found
2025-02-22 16:16:22,480 - INFO - Progress saved: 2820 URLs scraped, 7305 players found
2025-02-22 16:17:05,037 - INFO - Progress saved: 2830 URLs scraped, 7335 players found
2025-02-22 16:17:56,795 - INFO - Progress saved: 2840 URLs scraped, 7359 players found
2025-02-22 16:18:44,331 - INFO - Progress saved: 2850 URLs scraped, 7382 players found
2025-02-22 16:19:38,520 - INFO - Progress saved: 2860 URLs scraped, 7412 players found
2025-02-22 16:20:26,820 - INFO - Progress saved: 2870 URLs scraped, 7436 players found
2025-02-22 16:21:11,292 - INFO - Progress saved: 2880 URLs scraped, 7465 players found
2025-02-22 16:22:00,688 - INFO - Progress saved: 2890 URLs scraped, 7493 players found
2025-02-22 16:22:44,017 - INFO - Progress saved: 2900 URLs scraped, 7517 players found
2025-02-22 16:23:32,095 - INFO - Progress saved: 2910 URLs scraped, 7545 players found
2025-02-22 16:24:23,536 - INFO - Progress saved: 2920 URLs scraped, 7572 players found
2025-02-22 16:25:08,449 - INFO - Progress saved: 2930 URLs scraped, 7599 players found
2025-02-22 16:25:52,909 - INFO - Progress saved: 2940 URLs scraped, 7622 players found
2025-02-22 16:26:36,508 - INFO - Progress saved: 2950 URLs scraped, 7651 players found
2025-02-22 16:27:26,803 - INFO - Progress saved: 2960 URLs scraped, 7685 players found
2025-02-22 16:28:05,459 - INFO - Progress saved: 2970 URLs scraped, 7708 players found
2025-02-22 16:28:51,738 - INFO - Progress saved: 2980 URLs scraped, 7729 players found
2025-02-22 16:29:38,994 - INFO - Progress saved: 2990 URLs scraped, 7756 players found
2025-02-22 16:30:22,912 - INFO - Progress saved: 3000 URLs scraped, 7782 players found
2025-02-22 16:31:21,529 - INFO - Progress saved: 3010 URLs scraped, 7809 players found
2025-02-22 16:32:07,407 - INFO - Progress saved: 3020 URLs scraped, 7836 players found
2025-02-22 16:32:58,930 - INFO - Progress saved: 3030 URLs scraped, 7858 players found
2025-02-22 16:33:48,733 - INFO - Progress saved: 3040 URLs scraped, 7884 players found
2025-02-22 16:34:39,655 - INFO - Progress saved: 3050 URLs scraped, 7906 players found
2025-02-22 16:35:21,210 - INFO - Progress saved: 3060 URLs scraped, 7931 players found
2025-02-22 16:36:16,381 - INFO - Progress saved: 3070 URLs scraped, 7967 players found
2025-02-22 16:37:15,068 - INFO - Progress saved: 3080 URLs scraped, 7998 players found
2025-02-22 16:38:01,624 - INFO - Progress saved: 3090 URLs scraped, 8024 players found
2025-02-22 16:38:52,805 - INFO - Progress saved: 3100 URLs scraped, 8053 players found
2025-02-22 16:39:39,692 - INFO - Progress saved: 3110 URLs scraped, 8086 players found
2025-02-22 16:40:24,852 - INFO - Progress saved: 3120 URLs scraped, 8105 players found
2025-02-22 16:41:21,749 - INFO - Progress saved: 3130 URLs scraped, 8127 players found
2025-02-22 16:42:19,347 - INFO - Progress saved: 3140 URLs scraped, 8162 players found
2025-02-22 16:42:57,376 - INFO - Progress saved: 3150 URLs scraped, 8185 players found
2025-02-22 16:43:43,255 - INFO - Progress saved: 3160 URLs scraped, 8213 players found
