"player_name","class","position","games_played","games_started","number","height","bats","throws","hometown","high_school","player_id","player_url","team_id","year","team_name","conference_id","conference","division","season_id","prev_team_id"
"Sean Sieve","Jr.","p",10,0,27,"6-3","","","Granbury, TX","","7824121","https://stats.ncaa.org/players/7824121",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Marco Gutierrez","So.","P",15,0,24,"-","","","","","7824122","https://stats.ncaa.org/players/7824122",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Max Puls","Jr.","1B",47,47,25,"-","","","","","7824123","https://stats.ncaa.org/players/7824123",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"James Burchett","Jr.","P",10,0,35,"-","","","","","7995252","https://stats.ncaa.org/players/7995252",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Cole Modgling","So.","OF",23,6,14,"5-7","RIGHT","RIGHT","Castroville, TX","","7824125","https://stats.ncaa.org/players/7824125",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"RJ Carver","Jr.","1B",1,0,40,"-","","","","","7995255","https://stats.ncaa.org/players/7995255",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Chance Reisdorph","So.","C",50,45,9,"6-3","RIGHT","RIGHT","New Braunfels, TX","","7824127","https://stats.ncaa.org/players/7824127",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Jacob Sullens","Fr.","OF",0,0,43,"-","","","","","7995277","https://stats.ncaa.org/players/7995277",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"John Maldonado Jr.","So.","3B",0,0,7,"-","","","","","7824129","https://stats.ncaa.org/players/7824129",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Kyle Dickey","So.","P",15,0,19,"-","","","","","7824130","https://stats.ncaa.org/players/7824130",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Tyler Linneweber","Jr.","SS",10,3,1,"-","","","","","7824131","https://stats.ncaa.org/players/7824131",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Zach Garcia","So.","P",18,10,30,"6-2","LEFT","LEFT","New Braunfels, TX","","7824132","https://stats.ncaa.org/players/7824132",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Jared Harris","Jr.","C",0,0,15,"6-0","RIGHT","RIGHT","Tomball, TX","","7824133","https://stats.ncaa.org/players/7824133",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Kody Gibbs","Fr.","P",7,0,36,"-","","","","","7995264","https://stats.ncaa.org/players/7995264",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Jake Johnson","Sr.","OF",36,29,17,"-","","","","","7995231","https://stats.ncaa.org/players/7995231",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Nash Villegas","Fr.","P",7,1,21,"6-6","RIGHT","RIGHT","Corpus Christi, TX","","7995234","https://stats.ncaa.org/players/7995234",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Austin Dean","Jr.","P",20,0,33,"6-0","RIGHT","RIGHT","Pearland, TX","","7995261","https://stats.ncaa.org/players/7995261",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Dann Blanchard","Jr.","P",1,0,26,"-","","","","","7995236","https://stats.ncaa.org/players/7995236",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Sebastian Trinidad","Jr.","INF",54,51,2,"5-11","RIGHT","RIGHT","Ponce, PR","","7995229","https://stats.ncaa.org/players/7995229",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Evans Hendricks","Jr.","P",19,6,28,"6-0","LEFT","LEFT","Seguin, TX","","7995258","https://stats.ncaa.org/players/7995258",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Jose Enriquez","Jr.","1B",35,32,44,"6-0","LEFT","LEFT","El Paso, TX","","7995268","https://stats.ncaa.org/players/7995268",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Matthew Watson","So.","P",17,14,11,"6-5","RIGHT","RIGHT","Rogers, AR","","7995230","https://stats.ncaa.org/players/7995230",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Tanner Marek","Fr.","C",0,0,20,"-","","","","","7995233","https://stats.ncaa.org/players/7995233",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Matthew Molina","Fr.","P",0,0,39,"6-0","RIGHT","RIGHT","Alice, TX","","7995265","https://stats.ncaa.org/players/7995265",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Cole May","Fr.","OF",0,0,41,"-","","","","","7995266","https://stats.ncaa.org/players/7995266",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Cole Beddingfield","So.","P",2,0,42,"-","","","","","8678618","https://stats.ncaa.org/players/8678618",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Sean Moore","Fr.","P",0,0,42,"-","","","","","7995256","https://stats.ncaa.org/players/7995256",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Zach Smith","Sr.","P",26,0,19,"5-10","RIGHT","RIGHT","Abilene, TX","Wylie HS","7824296","https://stats.ncaa.org/players/7824296",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Tyler Morgan","Jr.","P",16,14,21,"6-0","RIGHT","RIGHT","Flower Mound, TX","Marcus HS","7824297","https://stats.ncaa.org/players/7824297",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Adam Stephenson","Sr.","P",19,0,16,"6-1","LEFT","LEFT","Southlake, TX","Southlake Carroll HS","7824300","https://stats.ncaa.org/players/7824300",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Miller Ladusau","Jr.","OF",59,59,12,"6-3","LEFT","RIGHT","Heath, TX","Heath HS","7824302","https://stats.ncaa.org/players/7824302",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Ben Johnson","So.","P",0,0,20,"6-0","RIGHT","RIGHT","Southlake, TX","Nolan Catholic HS","7824305","https://stats.ncaa.org/players/7824305",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Max Huffing","Jr.","P",21,3,45,"6-9","LEFT","LEFT","Edmond, OK","Deer Creek HS","7824307","https://stats.ncaa.org/players/7824307",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Grayson Tatrow","Sr.","OF",58,58,22,"6-4","LEFT","RIGHT","Mansfield, TX","Mansfield HS","7824310","https://stats.ncaa.org/players/7824310",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Bash Randle","Jr.","INF",32,32,1,"5-10","RIGHT","RIGHT","Rockwall, TX","Rockwall HS","7824311","https://stats.ncaa.org/players/7824311",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Sam Berberich","Jr.","P",18,0,27,"5-11","RIGHT","LEFT","Terrell, TX","Wills Point HS","7824313","https://stats.ncaa.org/players/7824313",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Drake Boggan","Jr.","P",22,1,18,"6-0","RIGHT","RIGHT","Lewisville, TX","Hebron HS","7824314","https://stats.ncaa.org/players/7824314",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Riley Bauman","Jr.","P",0,0,15,"6-0","RIGHT","RIGHT","Rockwall, TX","Rockwall HS","7824319","https://stats.ncaa.org/players/7824319",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Breck Eichelberger","Sr.","P",15,15,17,"6-4","RIGHT","RIGHT","Ivins, UT","Snow Canyon HS","7824320","https://stats.ncaa.org/players/7824320",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Tanner Tweedt","Sr.","C",57,56,10,"6-0","RIGHT","RIGHT","Red Bluff, CA","Red Bluff HS","7824322","https://stats.ncaa.org/players/7824322",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Aaron Staehely","Jr.","OF",0,0,42,"6-0","LEFT","RIGHT","Sugar Grove, IL","Benet HS","7824323","https://stats.ncaa.org/players/7824323",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Julio Riggs","Jr.","INF",12,2,4,"5-9","RIGHT","RIGHT","Boerne, TX","Boerne HS","7824324","https://stats.ncaa.org/players/7824324",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Riley Bender","So.","INF",13,5,9,"6-3","RIGHT","RIGHT","Kingwood, TX","Kingwood HS","7824325","https://stats.ncaa.org/players/7824325",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Adam Byrd","So.","P",16,0,5,"5-11","RIGHT","LEFT","Mesquite, TX","Poteet HS","7824326","https://stats.ncaa.org/players/7824326",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Jack Nielsen","So.","INF",26,17,40,"6-3","RIGHT","RIGHT","Southlake, TX","Southlake Carroll HS","7824327","https://stats.ncaa.org/players/7824327",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Maddox Miesse","Fr.","C",56,56,99,"6-0","RIGHT","RIGHT","Adkins, TX","East Central HS","8009035","https://stats.ncaa.org/players/8009035",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Blake Anderson","Jr.","P",24,7,34,"5-11","RIGHT","RIGHT","Royse City, TX","Royse City HS","8008999","https://stats.ncaa.org/players/8008999",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Brooks Gay","Fr.","P",7,0,36,"6-2","RIGHT","RIGHT","Abilene, TX","Wylie HS","8009013","https://stats.ncaa.org/players/8009013",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Holt Gibson","Fr.","P",1,0,35,"6-2","RIGHT","RIGHT","Lubbock, TX","Lubbock Cooper HS","8009016","https://stats.ncaa.org/players/8009016",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Parker Matthews","Fr.","P",1,1,8,"6-5","BOTH","RIGHT","Humble, TX","Atascocita HS","8009031","https://stats.ncaa.org/players/8009031",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Crew Parke","Jr.","INF",59,59,2,"5-8","RIGHT","RIGHT","Mesa, AZ","Westwood HS","8009038","https://stats.ncaa.org/players/8009038",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Eric Martin","Jr.","OF",27,19,43,"6-4","LEFT","RIGHT","Kitchener, Canada","St. Mary's HS","8009030","https://stats.ncaa.org/players/8009030",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Bobby Serfass","Jr.","INF",2,0,23,"6-2","RIGHT","RIGHT","Austin, TX","Westlake HS","8009040","https://stats.ncaa.org/players/8009040",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Logan Britt","Jr.","OF",59,59,3,"6-5","RIGHT","RIGHT","Ft Worth, TX","Colleyville Heritage HS","8009004","https://stats.ncaa.org/players/8009004",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Rolando De La Cruz","Jr.","P",8,4,30,"6-0","RIGHT","RIGHT","San Pedro de Macorís, Dominican Republic","","8009009","https://stats.ncaa.org/players/8009009",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Benjamin Greer","Jr.","INF",0,0,6,"6-0","BOTH","RIGHT","Pearland, TX","Shadow Creek HS","8009020","https://stats.ncaa.org/players/8009020",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Nick Meyer","Jr.","P",5,0,29,"6-7","LEFT","LEFT","Omaha, NE","Valor Christian HS","8009033","https://stats.ncaa.org/players/8009033",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Blaine Palmer","Fr.","P",2,0,11,"5-11","RIGHT","RIGHT","Buffalo Gap, TX","Jim Ned HS","8009037","https://stats.ncaa.org/players/8009037",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Garrett Williams","Jr.","INF",59,59,7,"5-10","RIGHT","RIGHT","Grand Prairie, TX","South Grand Prairie HS","8009043","https://stats.ncaa.org/players/8009043",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Matt Flaherty","Jr.","C",2,0,24,"6-1","RIGHT","RIGHT","Lake Zurich, IL","Lake Zurich HS","8009011","https://stats.ncaa.org/players/8009011",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Jake Skaggs","Jr.","OF",33,22,0,"5-10","LEFT","LEFT","Walnut Grove, MO","Ozark HS","8009041","https://stats.ncaa.org/players/8009041",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Austin Glaze","Jr.","P",15,15,14,"6-1","RIGHT","RIGHT","Carthage, TX","Colleyville Heritage HS","8009018","https://stats.ncaa.org/players/8009018",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Miles McKenna","Fr.","P",1,0,44,"6-4","LEFT","LEFT","Leawood, KS","Shawnee Mission South HS","8009032","https://stats.ncaa.org/players/8009032",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Luke Krkovski","So.","P",20,0,55,"6-5","LEFT","LEFT","Woronora, Australia","Woolooware HS","8009029","https://stats.ncaa.org/players/8009029",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Holden Rook","Fr.","OF",45,27,39,"5-10","RIGHT","RIGHT","The Woodlands, TX","College Park HS","8009039","https://stats.ncaa.org/players/8009039",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Mark Henderson","Fr.","C",0,0,41,"5-6","RIGHT","RIGHT","Katy, TX","Cinco Ranch HS","8009023","https://stats.ncaa.org/players/8009023",548074,2023,"Abilene Christian",923,"WAC",1,16340,2
"Luke Schlimm","Fr.","P",0,0,13,"-","","","","","7982776","https://stats.ncaa.org/players/7982776",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Walker Zapp","Fr.","C",21,9,28,"5-11","","","Auburn, AL","","7982826","https://stats.ncaa.org/players/7982826",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Chase Spencer","So.","INF",59,53,14,"6-1","LEFT","RIGHT","Plano, TX","Plano West","7822709","https://stats.ncaa.org/players/7822709",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Aaron Reyes","So.","C",32,19,17,"5-11","","","Downey, CA","St. John Bosco","7822710","https://stats.ncaa.org/players/7822710",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Jaxson Crump","So.","P",2,0,21,"6-0","","","Sarasota, FL","Sarasota","7822711","https://stats.ncaa.org/players/7822711",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Duke Benge","Sr.","UT",29,1,19,"5-11","RIGHT","RIGHT","Lakeville, MN","Lakeville South","7822714","https://stats.ncaa.org/players/7822714",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Jimmy Hebenstreit","Jr.","P",3,0,37,"6-1","","","Littleton, CO","Heritage","7822716","https://stats.ncaa.org/players/7822716",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Kyle Moats","Jr.","P",5,2,32,"6-2","","","Fresno, CA","St. John Bosco","7822717","https://stats.ncaa.org/players/7822717",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Sam Kulasingam","Jr.","INF",59,59,5,"6-2","","","Holly Springs, NC","Holly Springs","7822718","https://stats.ncaa.org/players/7822718",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Ryan Stohr","Sr.","UT",12,0,44,"-","","","","","7822719","https://stats.ncaa.org/players/7822719",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Aerik Joe","Jr.","INF",58,58,12,"5-10","","","Elgin, SC","Groves","7822720","https://stats.ncaa.org/players/7822720",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Chris Stallings","Jr.","OF",40,20,22,"6-0","","","Houston, TX","The Kinkaid School","7822721","https://stats.ncaa.org/players/7822721",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Seungmin Shim","Jr.","P",18,7,40,"6-4","","","Pleasanton, CA","Foothill","7822722","https://stats.ncaa.org/players/7822722",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Matt Thompson","Sr.","UT",51,45,20,"-","","","","","7822723","https://stats.ncaa.org/players/7822723",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Doyle Gehring","Jr.","P",16,15,30,"6-2","","","Tulsa, OK","Bishop Kelley","7822724","https://stats.ncaa.org/players/7822724",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Blake Covin","Sr.","OF",58,53,3,"-","","","","","7822725","https://stats.ncaa.org/players/7822725",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Trayden Tamiya","Sr.","INF",59,59,25,"-","","","","","7822726","https://stats.ncaa.org/players/7822726",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Jay Thomason","Jr.","INF",58,57,1,"6-1","","","Auburn, AL","","7822727","https://stats.ncaa.org/players/7822727",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Jason Shuger","Sr.","P",6,1,29,"-","","","","","7822728","https://stats.ncaa.org/players/7822728",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Jake Sansing","Sr.","P",18,11,35,"-","","","","","7822730","https://stats.ncaa.org/players/7822730",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Sawyer Hawks","So.","P",22,1,26,"-","","","","","7822731","https://stats.ncaa.org/players/7822731",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Dylan Rogers","So.","P",15,15,9,"6-3","","","McKinney, TX","McKinney North","7822732","https://stats.ncaa.org/players/7822732",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Jake Greiving","Jr.","P",59,59,7,"5-9","","","Parker, CO","Legend","7822734","https://stats.ncaa.org/players/7822734",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Zach Peters","So.","INF",25,2,4,"5-9","","","Garden Grove, CA","Los Alamitos","7822735","https://stats.ncaa.org/players/7822735",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Charlie Jones","Fr.","1B",21,4,11,"6-3","","","Cumming, GA","Kings Ridge Christian","7982803","https://stats.ncaa.org/players/7982803",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Ben Weber","Fr.","P",21,5,18,"6-1","","","St. Paul, MN","Cretin-Derham Hall","7982843","https://stats.ncaa.org/players/7982843",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Landon Boyd","So.","C",41,32,34,"6-0","","","Parker, CO","Sandra Day O'Connor","7982828","https://stats.ncaa.org/players/7982828",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Cooper Loveridge","Fr.","P",8,0,38,"6-3","","","Salem, UT","Salem Hills","7982849","https://stats.ncaa.org/players/7982849",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"T.J. Oster","Fr.","INF",28,3,2,"5-9","","","Phoenix, AZ","Valley Christian","7982797","https://stats.ncaa.org/players/7982797",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Tripp Garrish","Fr.","OF",4,0,10,"6-1","","","Belmont, CA","Carlmont","7982801","https://stats.ncaa.org/players/7982801",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"William Price","Fr.","P",0,0,27,"-","","","","","7982845","https://stats.ncaa.org/players/7982845",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Alex Rohm","Fr.","P",0,0,31,"-","","","","","7982846","https://stats.ncaa.org/players/7982846",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Jack Bello","Fr.","P",3,0,23,"6-3","RIGHT","LEFT","Palm Beach Gardens, FL","Cardinal Newman","7982844","https://stats.ncaa.org/players/7982844",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Ben Niednagel","Fr.","INF",6,0,33,"5-9","","","Santa Clarita, CA","Hart","7982847","https://stats.ncaa.org/players/7982847",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Joey Collier","Fr.","P",9,0,36,"6-0","","","Surprise, AZ","Paradise Honors","7982848","https://stats.ncaa.org/players/7982848",547889,2023,"Air Force",5486,"Mountain West",1,16340,721
"Max Bowman","Jr.","UT",35,30,6,"6-0","","","Gahanna, OH","Gahanna Lincoln","7822323","https://stats.ncaa.org/players/7822323",547860,2023,"Akron",875,"MAC",1,16340,5
"Kaito Hara","Sr.","INF",49,49,3,"-","","","","","7822324","https://stats.ncaa.org/players/7822324",547860,2023,"Akron",875,"MAC",1,16340,5
"Anthony Fett","Jr.","P",19,3,32,"6-4","","","Orchard Lake, MI","St. Mary","7822325","https://stats.ncaa.org/players/7822325",547860,2023,"Akron",875,"MAC",1,16340,5
"Brett Dietrich","Sr.","P",18,9,41,"6-3","","","Goshen, OH","Goshen HS","7822326","https://stats.ncaa.org/players/7822326",547860,2023,"Akron",875,"MAC",1,16340,5
"Yassir Kahook","Jr.","P",18,0,8,"5-11","","","Cuyahoga Falls, OH","Walsh Jesuit | Toledo","7822327","https://stats.ncaa.org/players/7822327",547860,2023,"Akron",875,"MAC",1,16340,5
"Dylan James","Sr.","P",1,0,5,"-","","","","","7822328","https://stats.ncaa.org/players/7822328",547860,2023,"Akron",875,"MAC",1,16340,5
"Breydan Cavey","Sr.","INF",31,24,21,"6-0","","","Medina, OH","Medina | Sinclair CC","7822329","https://stats.ncaa.org/players/7822329",547860,2023,"Akron",875,"MAC",1,16340,5
"Ian Pennington","So.","OF",53,53,16,"6-3","","","Springboro, OH","Springboro HS","7822330","https://stats.ncaa.org/players/7822330",547860,2023,"Akron",875,"MAC",1,16340,5
"Grayson Phillips","Sr.","P",0,0,27,"-","","","","","7822331","https://stats.ncaa.org/players/7822331",547860,2023,"Akron",875,"MAC",1,16340,5
"Andrew Horvath","So.","C",44,42,35,"6-1","","","Aurora, OH","Aurora HS","7822332","https://stats.ncaa.org/players/7822332",547860,2023,"Akron",875,"MAC",1,16340,5
"Jackson Miller","Sr.","P",1,0,23,"-","","","","","7822333","https://stats.ncaa.org/players/7822333",547860,2023,"Akron",875,"MAC",1,16340,5
"Sammy Tortorella","Jr.","P",21,17,33,"6-3","LEFT","LEFT","Pittsburgh, PA","","7822334","https://stats.ncaa.org/players/7822334",547860,2023,"Akron",875,"MAC",1,16340,5
"Spencer Atkins","Jr.","P",10,8,14,"6-2","","","Sylvania, OH","Sylvania Northview","7822335","https://stats.ncaa.org/players/7822335",547860,2023,"Akron",875,"MAC",1,16340,5
"Jacob Clark","Sr.","P",0,0,18,"-","","","","","7822336","https://stats.ncaa.org/players/7822336",547860,2023,"Akron",875,"MAC",1,16340,5
"Greyson Droste","Sr.","1B",13,5,19,"-","","","","","7822337","https://stats.ncaa.org/players/7822337",547860,2023,"Akron",875,"MAC",1,16340,5
"Caleb Jenkins","So.","P",21,15,25,"-","","","","","7822338","https://stats.ncaa.org/players/7822338",547860,2023,"Akron",875,"MAC",1,16340,5
"Joey Herrick","So.","P",1,0,10,"-","","","","","7822340","https://stats.ncaa.org/players/7822340",547860,2023,"Akron",875,"MAC",1,16340,5
"Jacob Beall","So.","P",10,1,22,"6-3","","","West Chester, OH","Lakota West HS","7822341","https://stats.ncaa.org/players/7822341",547860,2023,"Akron",875,"MAC",1,16340,5
"Jacob Krausher","So.","P",5,0,26,"-","","","","","7822344","https://stats.ncaa.org/players/7822344",547860,2023,"Akron",875,"MAC",1,16340,5
"Ty Stolarski","So.","P",21,15,7,"6-5","RIGHT","RIGHT","Medina, OH","Medina Senior","7822345","https://stats.ncaa.org/players/7822345",547860,2023,"Akron",875,"MAC",1,16340,5
"Michael Sprockett","So.","C",11,10,34,"5-10","","","West Chester, OH","Lakota East HS","7822346","https://stats.ncaa.org/players/7822346",547860,2023,"Akron",875,"MAC",1,16340,5
"Brady Biglin","Jr.","P",16,0,31,"-","","","","","7822347","https://stats.ncaa.org/players/7822347",547860,2023,"Akron",875,"MAC",1,16340,5
"JT Popick","Fr.","INF",0,0,4,"-","RIGHT","RIGHT","","","8010457","https://stats.ncaa.org/players/8010457",547860,2023,"Akron",875,"MAC",1,16340,5
"Sean Perkins","So.","P",9,0,20,"6-4","","","Cambridge, OH","Cambridge","8009978","https://stats.ncaa.org/players/8009978",547860,2023,"Akron",875,"MAC",1,16340,5
"DJ Butler","So.","INF",25,15,0,"5-10","BOTH","RIGHT","Chicago, IL","Simeon","8009991","https://stats.ncaa.org/players/8009991",547860,2023,"Akron",875,"MAC",1,16340,5
"Jack Firestone","So.","OF",0,0,44,"6-2","","","Zionsville, IN","Zionsville","8009992","https://stats.ncaa.org/players/8009992",547860,2023,"Akron",875,"MAC",1,16340,5
"Joe Roth","Fr.","P",20,13,1,"-","LEFT","RIGHT","","","8010432","https://stats.ncaa.org/players/8010432",547860,2023,"Akron",875,"MAC",1,16340,5
"John Allen","Fr.","P",0,0,15,"6-2","LEFT","LEFT","Wadsworth, OH","Wadsworth","8010436","https://stats.ncaa.org/players/8010436",547860,2023,"Akron",875,"MAC",1,16340,5
